"permissionId", "declaringType","returnType","name","argTypes"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","deleteMessageFromIcc","I"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","updateMessageOnIcc","II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","updateMessageOnIccEf","Ljava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Landroid/telephony/gsm/SmsManager;","Z","copyMessageToSim","[B[BI"
"android.permission.RECEIVE_SMS", "Landroid/telephony/gsm/SmsManager;","Z","deleteMessageFromSim","I"
"android.permission.RECEIVE_SMS", "Landroid/telephony/gsm/SmsManager;","Z","updateMessageOnSim","II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Ljava/util/List;","getAllMessagesFromIccEf","Ljava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Ljava/util/List;","getAllMessagesFromIccEfForSubscriber","ILjava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Ljava/util/List;","getAllMessagesFromIccEfForSubscriber","ILjava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Ljava/util/List;","getAllMessagesFromIccEfForSubscriber","ILjava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Ljava/util/List;","getAllMessagesFromIccEf","Ljava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Ljava/util/List;","getAllMessagesFromIccEfForSubscriber","ILjava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Ljava/util/List;","getAllMessagesFromIccEf","Ljava/lang/String;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Ljava/util/List;","getAllMessagesFromIccEf","Ljava/lang/String;"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Ljava/util/ArrayList;","getAllMessagesFromIcc",""
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Ljava/util/List;","getAllMessagesFromIccEf","Ljava/lang/String;"
"android.permission.RECEIVE_SMS", "Landroid/telephony/gsm/SmsManager;","Ljava/util/ArrayList;","getAllMessagesFromSim",""
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","enableGsmBroadcastRange","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","enableCellBroadcastRangeForSubscriber","IIII"
